"UHFCODE","UHFNAME","BOROUGH","ALTCHPUHF","CHSUHF"
"101","Kingsbridge - Riverdale","Bronx","Kingsbridge and Riverdale","101 Kingsbridge"
"102","Northeast Bronx","Bronx","the Northeast Bronx","102 Northeast Bronx"
"103","Fordham - Bronx Park","Bronx","Fordham and Bronx Park","103 Fordham - Bronx Pk"
"104","Pelham - Throgs Neck","Bronx","the Southeast Bronx","104 Pelham"
"105","Crotona - Tremont","Bronx","the Central Bronx","105 Crotona-Tremont"
"106","High Bridge - Morrisania","Bronx","Highbridge and Morrisania","106 High Bridge"
"107","Hunts Point - Mott Haven","Bronx","Hunts Point and Mott Haven","107 Hunts Point"
"201","Greenpoint","Brooklyn","Greenpoint","201 Greenpoint"
"202","Downtown  - Heights - Slope","Brooklyn","Northwest Brooklyn","202 Downtown-Heights"
"203","Bedford Stuyvesant - Crown Heights","Brooklyn","Central Brooklyn","203 Bed-Stuy"
"204","East New York","Brooklyn","East New York and New Lots","204 East New York"
"205","Sunset Park","Brooklyn","Sunset Park","205 Sunset Park"
"206","Borough Park","Brooklyn","Borough Park","206 Borough Park"
"207","East Flatbush - Flatbush","Brooklyn","Flatbush","207 Flatbush"
"208","Canarsie - Flatlands","Brooklyn","Canarsie and Flatlands","208 Canarsie"
"209","Bensonhurst - Bay Ridge","Brooklyn","Southwest Brooklyn","209 Bensonhurst"
"210","Coney Island - Sheepshead Bay","Brooklyn","Southern Brooklyn","210 Coney Island"
"211","Williamsburg - Bushwick","Brooklyn","Bushwick and Williamsburg","211 Williamsburg"
"301","Washington Heights - Inwood","Manhattan","Inwood and Washington Heights","301 Washington Heights"
"302","Central Harlem - Morningside Heights","Manhattan","Central Harlem","302 Central Harlem"
"303","East Harlem","Manhattan","East Harlem","303 East Harlem"
"304","Upper West Side","Manhattan","Upper West Side","304 Upper West Side"
"305","Upper East Side","Manhattan","Upper East Side","305 Upper Eastside"
"306","Chelsea - Clinton","Manhattan","Chelsea and Clinton","306 Chelsea-Clinton"
"307","Gramercy Park -  Murray Hill","Manhattan","Gramercy Park and Murray Hill","307 Gramercy Park"
"308","Greenwich Village - Soho","Manhattan","Greenwich Village and Soho","308 Greenwich Village"
"309","Union Square - Lower East Side","Manhattan","the Lower East Side","309 Union Square"
"310","Lower Manhattan","Manhattan","Lower Manhattan","310 Lower Manhattan"
"401","Long Island City - Astoria","Queens","Northwest Queens","401 LIC, Astoria"
"402","West Queens","Queens","West Queens","402 West Queens"
"403","Flushing - Clearview","Queens","North Queens","403 Flushing"
"404","Bayside - Little Neck","Queens","Northeast Queens","404 Bayside Little Neck"
"405","Ridgewood - Forest Hills","Queens","West Central Queens","405 Ridgewood"
"406","Fresh Meadows","Queens","Central Queens","406 Fresh Meadows"
"407","Southwest Queens","Queens","Southwest Queens","407 SouthWest Queens"
"408","Jamaica","Queens","Jamaica","408 Jamaica"
"409","Southeast Queens","Queens","Southeast Queens","409 SouthEast Queens"
"410","Rockaway","Queens","the Rockaways","410 Rockaway"
"501","Port  Richmond","Staten Island","Port Richmond","501 Port Richmond"
"502","Stapleton - St. George","Staten Island","Stapleton and St. George","502 Stapleton"
"503","Willowbrook","Staten Island","Mid-Island","503 Willbrook"
"504","South Beach - Tottenville","Staten Island","South Beach and Tottenville","504 South Beach"
"0"," ","N/A"," "," "
